"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"69",85893,NA,"Bug","Closed","Fixed",2013-11-22,NA,2014-05-07,NA
"70",85894,NA,"Bug","Closed","Fixed",2013-12-06,NA,2014-05-07,NA
"71",85896,NA,"Bug","Closed","Fixed",2014-01-09,NA,2014-05-07,NA
"72",85897,NA,"Bug","Closed","Fixed",2014-01-10,NA,2014-05-07,NA
"73",85898,NA,"Feature","Closed","Done",2014-01-17,NA,2014-05-07,NA
"74",85899,NA,"Bug","Closed","Fixed",2014-01-30,NA,2014-05-07,NA
"75",85900,NA,"Feature","Closed","Done",2014-02-03,NA,2014-05-07,NA
"76",85901,NA,"Feature","Closed","Done",2014-02-04,NA,2014-05-07,NA
"77",85902,NA,"Feature","Closed","Done",2014-02-04,NA,2014-05-07,NA
"78",85903,NA,"Feature","Closed","Done",2014-02-04,NA,2014-05-07,NA
"79",85904,NA,"Feature","Closed","Done",2014-02-05,NA,2014-05-07,NA
"80",85905,NA,"Bug","Closed","Fixed",2014-02-06,NA,2014-05-07,NA
"81",85906,NA,"Bug","Closed","Fixed",2014-02-06,NA,2014-05-07,NA
"82",85907,NA,"Bug","Closed","Fixed",2014-02-07,NA,2014-05-07,NA
"83",85908,NA,"Bug","Closed","Fixed",2014-02-07,NA,2014-05-07,NA
"84",85909,NA,"Bug","Closed","Fixed",2014-02-08,NA,2014-05-07,NA
"85",85910,NA,"Bug","Closed","Fixed",2014-02-11,NA,2014-05-07,NA
"86",85911,NA,"Feature","Closed","Done",2014-02-12,NA,2014-05-07,NA
"87",85912,NA,"Bug","Closed","Fixed",2014-02-13,NA,2014-05-07,NA
"88",85913,NA,"Bug","Closed","Fixed",2014-02-19,NA,2014-05-07,NA
"89",85914,NA,"Feature","Closed","Done",2014-02-24,NA,2014-05-07,NA
"90",85915,NA,"Bug","Closed","Fixed",2014-02-26,NA,2014-05-07,NA
"91",85916,NA,"Bug","Closed","Fixed",2014-03-14,NA,2014-05-07,NA
"92",85975,392,"Bug","Closed","Fixed",2014-05-03,2014-05-13,2014-06-11,NA
"93",85993,255,"Bug","Closed","Fixed",2014-05-04,2014-05-08,2014-06-11,NA
"94",86014,973,"Bug","Closed","Fixed",2014-05-05,2014-05-05,NA,NA
"95",86799,NA,"Bug","Closed","Fixed",2014-05-08,NA,2014-05-07,NA
"96",86896,NA,"Bug","Closed","Fixed",2014-05-09,NA,2014-05-07,NA
"97",86923,390,"Bug","Closed","Fixed",2014-04-03,2014-05-29,2014-06-11,NA
"98",86925,243,"Bug","Closed","Fixed",2014-04-04,2014-05-22,2014-05-07,NA
"99",86926,389,"Bug","Closed","Fixed",2014-04-04,2014-05-29,2014-06-11,NA
