"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"73",68459,NA,"Bug","Closed","Fixed",2013-02-27,NA,"2013-03-25",NA
"74",68138,NA,"Bug","Closed","Fixed",2013-02-06,NA,"2013-03-21",NA
"75",67722,NA,"Feature","Closed","Done",2013-01-22,NA,"2013-03-19",NA
"76",68284,NA,"Feature","Closed","Done",2013-02-14,NA,"2013-04-01",NA
"77",68289,NA,"Feature","Closed","Done",2013-02-14,NA,"2013-04-16",NA
"78",69112,NA,"Bug","Closed","Fixed",2013-04-18,NA,"2013-04-24",NA
"79",68942,NA,"Bug","Closed","Fixed",2013-04-04,NA,"2013-04-16",NA
"80",68755,NA,"Feature","Closed","Done",2013-03-20,NA,"2013-04-17",NA
"81",68568,NA,"Bug","Closed","Fixed",2013-03-07,NA,"2013-04-24",NA
"82",68567,NA,"Feature","Closed","Done",2013-03-07,NA,"2013-04-22",NA
"83",68566,NA,"Feature","Closed","Done",2013-03-07,NA,"2013-04-22",NA
"84",68460,NA,"Bug","Closed","Fixed",2013-02-27,NA,"2013-04-16",NA
"85",68450,NA,"Bug","Closed","Fixed",2013-02-27,NA,"2013-04-18",NA
"86",68449,NA,"Bug","Closed","Fixed",2013-02-27,NA,"2013-04-15",NA
"87",68290,NA,"Bug","Closed","Fixed",2013-02-14,NA,"2013-04-16",NA
"88",68238,NA,"Bug","Closed","Fixed",2013-02-11,NA,"2013-04-17",NA
"89",68200,NA,"Feature","Closed","Done",2013-02-07,NA,"2013-04-16",NA
"90",67376,NA,"Bug","Closed","Fixed",2013-01-04,NA,"2013-04-17",NA
"91",66917,NA,"Bug","Closed","Fixed",2012-11-21,NA,"2013-04-18",NA
"92",66410,NA,"Bug","Closed","Fixed",2012-10-22,NA,"2013-04-18",NA
"93",64762,NA,"Bug","Closed","Fixed",2012-07-30,NA,"2013-04-16",NA
"94",64764,NA,"Feature","Closed","Done",2012-07-30,NA,"2013-04-19",NA
"95",63311,NA,"Bug","Closed","Fixed",2012-06-06,NA,"2013-04-15",NA
"96",63310,NA,"Bug","Closed","Fixed",2012-06-06,NA,"2013-04-15",NA
"97",63308,NA,"Bug","Closed","Fixed",2012-06-06,NA,"2013-04-15",NA
"98",68946,NA,"Bug","Closed","Fixed",2013-04-04,NA,"2013-08-06",NA
"99",68286,NA,"Feature","Closed","Done",2013-02-14,NA,"2013-08-26",NA
"100",68965,NA,"Feature","Closed","Done",2013-04-08,NA,"2013-05-06",NA
"101",68910,NA,"Bug","Closed","Fixed",2013-04-02,NA,"2013-05-06",NA
"102",68779,NA,"Bug","Closed","Fixed",2013-03-22,NA,"2013-04-30",NA
"103",68733,NA,"Bug","Closed","Fixed",2013-03-19,NA,"2013-04-30",NA
"104",68653,NA,"Feature","Closed","Done",2013-03-13,NA,"2013-05-06",NA
"105",68109,NA,"Bug","Closed","Fixed",2013-02-03,NA,"2013-04-30",NA
"106",68080,NA,"Bug","Closed","Fixed",2013-02-01,NA,"2013-04-30",NA
"107",65376,NA,"Feature","Closed","Done",2012-08-22,NA,"2013-04-30",NA
"108",69311,NA,"Bug","Closed","Fixed",2013-05-08,NA,"2013-08-06",NA
"109",68723,NA,"Bug","Closed","Fixed",2013-03-18,NA,"2013-08-06",NA
"110",68419,NA,"Feature","Closed","Done",2013-02-25,NA,"2013-05-17",NA
"111",69452,NA,"Bug","Closed","Fixed",2013-05-17,NA,"2013-08-26",NA
"112",69382,NA,"Bug","Closed","Fixed",2013-05-14,NA,"2013-05-23",NA
"113",69375,NA,"Bug","Closed","Fixed",2013-05-14,NA,"2013-05-28",NA
"114",69374,NA,"Bug","Closed","Fixed",2013-05-14,NA,"2013-05-28",NA
"115",69370,NA,"Bug","Closed","Fixed",2013-05-13,NA,"2013-05-28",NA
"116",69354,NA,"Bug","Closed","Fixed",2013-05-11,NA,"2013-05-28",NA
"117",69353,NA,"Bug","Closed","Fixed",2013-05-11,NA,"2013-05-28",NA
"118",69350,NA,"Bug","Closed","Fixed",2013-05-11,NA,"2013-05-28",NA
"119",69344,NA,"Bug","Closed","Fixed",2013-05-10,NA,"2013-05-28",NA
"120",69340,NA,"Bug","Closed","Fixed",2013-05-10,NA,"2013-05-28",NA
"121",69282,NA,"Bug","Closed","Fixed",2013-05-03,NA,"2013-05-28",NA
"122",69258,NA,"Bug","Closed","Fixed",2013-05-02,NA,"2013-05-28",NA
"123",69150,NA,"Bug","Closed","Fixed",2013-04-24,NA,"2013-05-28",NA
"124",69054,NA,"Bug","Closed","Fixed",2013-04-14,NA,"2013-05-28",NA
"125",68945,NA,"Bug","Closed","Fixed",2013-04-04,NA,"2013-08-26",NA
"126",68917,NA,"Bug","Closed","Fixed",2013-04-03,NA,"2013-06-10",NA
"127",68749,NA,"Bug","Closed","Fixed",2013-03-20,NA,"2013-05-23",NA
"128",68570,NA,"Feature","Closed","Done",2013-03-07,NA,"2013-05-23",NA
"129",68477,NA,"Bug","Closed","Fixed",2013-03-01,NA,"2013-05-23",NA
"130",68363,NA,"Bug","Closed","Fixed",2013-02-19,NA,"2013-05-28",NA
"131",68110,NA,"Bug","Closed","Fixed",2013-02-04,NA,"2013-05-23",NA
"132",67303,NA,"Bug","Closed","Fixed",2012-12-22,NA,"2013-05-28",NA
"133",67121,NA,"Bug","Closed","Fixed",2012-12-04,NA,"2013-05-23",NA
"134",66807,NA,"Bug","Closed","Fixed",2012-11-14,NA,"2013-05-22",NA
"135",65291,NA,"Bug","Closed","Fixed",2012-08-17,NA,"2013-05-23",NA
"136",63492,NA,"Bug","Closed","Fixed",2012-06-13,NA,"2013-05-28",NA
"137",60990,NA,"Bug","Closed","Fixed",2012-02-15,NA,"2013-05-23",NA
"138",59715,NA,"Bug","Closed","Fixed",2011-11-23,NA,"2013-05-28",NA
"139",69630,NA,"Bug","Closed","Fixed",2013-05-31,NA,"2013-08-26",NA
"140",69583,NA,"Bug","Closed","Fixed",2013-05-29,NA,"2013-06-03",NA
"141",68420,NA,"Feature","Closed","Done",2013-02-25,NA,"2013-08-26",NA
"142",69464,NA,"Bug","Closed","Fixed",2013-05-19,NA,"2013-06-13",NA
"143",69371,NA,"Bug","Closed","Fixed",2013-05-14,NA,"2013-06-13",NA
"144",69365,NA,"Bug","Closed","Fixed",2013-05-13,NA,"2013-06-13",NA
"145",69228,NA,"Feature","Closed","Done",2013-05-01,NA,"2013-08-06",NA
"146",68421,NA,"Feature","Closed","Done",2013-02-25,NA,"2013-06-10",NA
"147",68117,NA,"Feature","Closed","Done",2013-02-04,NA,"2013-07-29",NA
"148",65548,NA,"Feature","Closed","Done",2012-08-27,NA,"2013-06-10",NA
"149",68964,NA,"Feature","Closed","Done",2013-04-08,NA,"2013-08-06",NA
"150",69926,NA,"Feature","Closed","Done",2013-06-18,NA,"2013-08-26",NA
"151",70154,NA,"Bug","Closed","Fixed",2013-06-27,NA,"2013-07-08",NA
"152",69974,NA,"Feature","Closed","Done",2013-06-18,NA,"2013-07-08",NA
"153",69885,NA,"Bug","Closed","Fixed",2013-06-14,NA,"2013-07-17",NA
"154",69222,NA,"Feature","Closed","Done",2013-05-01,NA,"2013-07-08",NA
"155",67505,NA,"Bug","Closed","Fixed",2013-01-15,NA,"2013-07-08",NA
"156",66345,NA,"Bug","Closed","Fixed",2012-10-17,NA,"2013-07-01",NA
"157",70249,NA,"Bug","Closed","Fixed",2013-07-03,NA,"2013-07-16",NA
"158",70247,NA,"Bug","Closed","Fixed",2013-07-03,NA,"2013-07-16",NA
"159",70141,NA,"Bug","Closed","Fixed",2013-06-26,NA,"2013-07-16",NA
"160",70111,NA,"Bug","Closed","Fixed",2013-06-25,NA,"2013-07-16",NA
"161",70074,NA,"Bug","Closed","Fixed",2013-06-21,NA,"2013-07-16",NA
"162",69573,NA,"Bug","Closed","Fixed",2013-05-28,NA,"2013-07-16",NA
"163",67387,NA,"Bug","Closed","Fixed",2013-01-04,NA,"2013-07-16",NA
"164",70539,NA,"Bug","Closed","Fixed",2013-07-23,NA,"2013-07-31",NA
"165",70497,NA,"Bug","Closed","Fixed",2013-07-22,NA,"2013-07-26",NA
"166",70515,NA,"Bug","Closed","Fixed",2013-07-22,NA,"2013-07-31",NA
"167",70488,NA,"Bug","Closed","Fixed",2013-07-19,NA,"2013-07-31",NA
"168",70483,NA,"Feature","Closed","Done",2013-07-18,NA,"2013-07-29",NA
"169",70471,NA,"Bug","Closed","Fixed",2013-07-17,NA,"2013-07-24",NA
"170",70472,NA,"Bug","Closed","Fixed",2013-07-17,NA,"2013-07-31",NA
"171",70723,NA,"Bug","Closed","Fixed",2013-08-05,NA,"2013-08-26",NA
"172",70554,NA,"Feature","Closed","Done",2013-07-24,NA,"2013-08-05",NA
"173",69973,NA,"Feature","Closed","Done",2013-06-18,NA,"2013-08-05",NA
"174",70598,NA,"Feature","Closed","Done",2013-07-26,NA,"2013-08-12",NA
"175",69401,NA,"Bug","Closed","Fixed",2013-05-15,NA,"2013-08-09",NA
"176",69073,NA,"Bug","Closed","Fixed",2013-04-15,NA,"2013-08-07",NA
"177",69005,NA,"Bug","Closed","Fixed",2013-04-10,NA,"2013-08-09",NA
"178",68680,NA,"Feature","Closed","Done",2013-03-15,NA,"2013-08-09",NA
"179",68578,NA,"Bug","Closed","Fixed",2013-03-07,NA,"2013-08-09",NA
"180",68563,NA,"Feature","Closed","Done",2013-03-07,NA,"2013-08-12",NA
"181",67507,NA,"Feature","Closed","Done",2013-01-15,NA,"2013-08-09",NA
"182",65947,NA,"Bug","Closed","Fixed",2012-09-24,NA,"2013-08-08",NA
"183",65129,NA,"Feature","Closed","Done",2012-08-13,NA,"2013-08-09",NA
"184",62633,NA,"Bug","Closed","Fixed",2012-05-01,NA,"2013-08-09",NA
"185",62167,NA,"Bug","Closed","Fixed",2012-04-10,NA,"2013-08-12",NA
"186",71071,NA,"Bug","Closed","Fixed",2013-08-19,NA,"2013-08-20",NA
"187",70432,NA,"Feature","Closed","Done",2013-07-16,NA,"2013-08-22",NA
"188",71280,NA,"Bug","Closed","Fixed",2013-08-22,NA,"2013-09-05",NA
"189",71052,NA,"Bug","Closed","Fixed",2013-08-16,NA,"2013-09-03",NA
"190",71008,NA,"Bug","Closed","Fixed",2013-08-14,NA,"2013-08-28",NA
"191",70961,NA,"Feature","Closed","Done",2013-08-13,NA,"2013-08-28",NA
"192",70859,NA,"Feature","Closed","Done",2013-08-08,NA,"2013-09-04",NA
"193",71361,NA,"Bug","Closed","Fixed",2013-08-28,NA,"2013-08-29",NA
"194",71338,NA,"Bug","Closed","Fixed",2013-08-27,NA,"2013-09-16",NA
"195",71270,NA,"Bug","Closed","Fixed",2013-08-22,NA,"2013-09-06",NA
"196",71217,NA,"Bug","Closed","Fixed",2013-08-20,NA,"2013-09-06",NA
"197",70901,NA,"Feature","Closed","Done",2013-08-09,NA,"2013-09-06",NA
"198",70799,NA,"Bug","Closed","Fixed",2013-08-07,NA,"2013-09-06",NA
"199",70362,NA,"Feature","Closed","Done",2013-07-11,NA,"2013-09-11",NA
"200",69435,NA,"Bug","Closed","Fixed",2013-05-15,NA,"2013-09-06",NA
"201",69313,NA,"Bug","Closed","Fixed",2013-05-08,NA,"2013-09-06",NA
"202",69013,NA,"Bug","Closed","Fixed",2013-04-10,NA,"2013-09-04",NA
"203",68457,NA,"Bug","Closed","Fixed",2013-02-27,NA,"2013-09-09",NA
"204",67113,NA,"Bug","Closed","Fixed",2012-12-04,NA,"2013-09-09",NA
"205",67116,NA,"Bug","Closed","Fixed",2012-12-04,NA,"2013-09-11",NA
"206",66008,NA,"Bug","Closed","Fixed",2012-08-25,NA,"2013-09-16",NA
"207",71617,NA,"Bug","Closed","Fixed",2013-09-12,NA,"2013-09-16",NA
"208",71615,NA,"Bug","Closed","Fixed",2013-09-12,NA,"2013-09-16",NA
"209",71614,NA,"Bug","Closed","Fixed",2013-09-12,NA,"2013-09-16",NA
"210",71567,NA,"Bug","Closed","Fixed",2013-09-11,NA,"2013-09-17",NA
"211",71565,NA,"Bug","Closed","Fixed",2013-09-11,NA,"2013-09-17",NA
"212",71564,NA,"Bug","Closed","Fixed",2013-09-11,NA,"2013-09-17",NA
"213",71375,NA,"Bug","Closed","Fixed",2013-08-28,NA,"2013-09-17",NA
"214",71551,NA,"Bug","Closed","Fixed",2013-09-10,NA,"2013-09-13",NA
"215",71283,NA,"Bug","Closed","Fixed",2013-08-22,NA,"2013-08-26",NA
"216",71061,NA,"Feature","Closed","Done",2013-08-19,NA,"2013-10-02",NA
"217",71062,NA,"Feature","Closed","Done",2013-08-19,NA,"2013-10-02",NA
"218",70999,NA,"Bug","Closed","Fixed",2013-08-14,NA,"2013-09-06",NA
"219",70864,NA,"Bug","Closed","Fixed",2013-08-08,NA,"2013-08-26",NA
"220",70848,NA,"Bug","Closed","Fixed",2013-08-08,NA,"2013-08-26",NA
"221",70721,NA,"Bug","Closed","Fixed",2013-08-04,NA,"2013-09-06",NA
"222",70719,NA,"Bug","Closed","Fixed",2013-08-03,NA,"2013-09-06",NA
"223",70717,NA,"Bug","Closed","Fixed",2013-08-02,NA,"2013-08-26",NA
"224",70716,NA,"Bug","Closed","Fixed",2013-08-02,NA,"2013-08-26",NA
"225",70610,NA,"Bug","Closed","Fixed",2013-07-29,NA,"2013-08-26",NA
"226",70380,NA,"Bug","Closed","Fixed",2013-07-12,NA,"2013-08-26",NA
"227",69971,NA,"Bug","Closed","Fixed",2013-06-18,NA,"2013-08-26",NA
"228",69889,NA,"Bug","Closed","Fixed",2013-06-16,NA,"2013-08-26",NA
"229",69637,NA,"Bug","Closed","Fixed",2013-06-02,NA,"2013-08-26",NA
"230",69635,NA,"Bug","Closed","Fixed",2013-06-02,NA,"2013-08-26",NA
"231",69538,NA,"Bug","Closed","Fixed",2013-05-22,NA,"2013-09-06",NA
"232",69531,NA,"Bug","Closed","Fixed",2013-05-22,NA,"2013-09-06",NA
"233",69465,NA,"Bug","Closed","Fixed",2013-05-20,NA,"2013-09-30",NA
"234",69454,NA,"Bug","Closed","Fixed",2013-05-17,NA,"2013-08-26",NA
